datum_snapshot,datum_slot,uhrzeit_slot,dauer_minuten,court,preis,status,tage_im_voraus
2026-05-27T09:55:01,2026-05-27,10:00,90,Outdoor 1,36.0,frei,0
2026-05-27T09:55:01,2026-05-27,13:00,60,Outdoor 1,24.0,frei,0
2026-05-27T09:55:01,2026-05-27,12:30,60,Indoor 4,30.0,frei,0
2026-05-27T09:55:01,2026-05-27,12:30,120,Indoor 4,60.0,frei,0
2026-05-27T09:55:01,2026-05-27,13:30,60,Indoor 4,30.0,frei,0
2026-05-27T09:55:01,2026-05-27,23:00,60,Indoor 4,30.0,frei,0
2026-05-27T09:55:01,2026-05-27,10:00,60,Indoor 3,30.0,frei,0
2026-05-27T09:55:01,2026-05-27,10:00,120,Indoor 3,60.0,frei,0
2026-05-27T09:55:01,2026-05-27,10:30,90,Indoor 3,45.0,frei,0
2026-05-27T09:55:01,2026-05-27,11:00,60,Indoor 3,30.0,frei,0
2026-05-27T09:55:01,2026-05-27,13:00,60,Indoor 3,30.0,frei,0
2026-05-27T09:55:01,2026-05-27,13:00,90,Indoor 3,45.0,frei,0
2026-05-27T09:55:01,2026-05-27,13:00,120,Indoor 3,60.0,frei,0
2026-05-27T09:55:01,2026-05-27,14:00,60,Indoor 3,30.0,frei,0
2026-05-27T09:55:01,2026-05-27,14:00,90,Indoor 3,45.0,frei,0
2026-05-27T09:55:01,2026-05-27,14:30,60,Indoor 3,30.0,frei,0
2026-05-27T09:55:01,2026-05-27,14:30,120,Indoor 3,66.0,frei,0
2026-05-27T09:55:01,2026-05-27,15:00,90,Indoor 3,51.0,frei,0
2026-05-27T09:55:01,2026-05-27,15:30,60,Indoor 3,36.0,frei,0
2026-05-27T09:55:01,2026-05-27,11:00,60,Indoor 2,30.0,frei,0
2026-05-27T09:55:01,2026-05-27,11:00,90,Indoor 2,45.0,frei,0
2026-05-27T09:55:01,2026-05-27,11:00,120,Indoor 2,60.0,frei,0
2026-05-27T09:55:01,2026-05-27,12:00,60,Indoor 2,30.0,frei,0
2026-05-27T09:55:01,2026-05-27,12:00,90,Indoor 2,45.0,frei,0
2026-05-27T09:55:01,2026-05-27,12:00,120,Indoor 2,60.0,frei,0
2026-05-27T09:55:01,2026-05-27,12:30,60,Indoor 2,30.0,frei,0
2026-05-27T09:55:01,2026-05-27,12:30,90,Indoor 2,45.0,frei,0
2026-05-27T09:55:01,2026-05-27,13:00,60,Indoor 2,30.0,frei,0
2026-05-27T09:55:01,2026-05-27,13:00,120,Indoor 2,60.0,frei,0
2026-05-27T09:55:01,2026-05-27,13:30,90,Indoor 2,45.0,frei,0
2026-05-27T09:55:01,2026-05-27,14:00,60,Indoor 2,30.0,frei,0
2026-05-27T09:55:01,2026-05-27,11:00,60,Outdoor 2,24.0,frei,0
2026-05-27T09:55:01,2026-05-27,11:00,90,Outdoor 2,36.0,frei,0
2026-05-27T09:55:01,2026-05-27,11:00,120,Outdoor 2,48.0,frei,0
2026-05-27T09:55:01,2026-05-27,11:00,150,Outdoor 2,60.0,frei,0
2026-05-27T09:55:01,2026-05-27,12:00,60,Outdoor 2,24.0,frei,0
2026-05-27T09:55:01,2026-05-27,12:00,90,Outdoor 2,36.0,frei,0
2026-05-27T09:55:01,2026-05-27,12:00,120,Outdoor 2,48.0,frei,0
2026-05-27T09:55:01,2026-05-27,12:00,150,Outdoor 2,60.0,frei,0
2026-05-27T09:55:01,2026-05-27,12:30,60,Outdoor 2,24.0,frei,0
2026-05-27T09:55:01,2026-05-27,12:30,90,Outdoor 2,36.0,frei,0
2026-05-27T09:55:01,2026-05-27,12:30,120,Outdoor 2,48.0,frei,0
2026-05-27T09:55:01,2026-05-27,12:30,150,Outdoor 2,60.0,frei,0
2026-05-27T09:55:01,2026-05-27,13:00,60,Outdoor 2,24.0,frei,0
2026-05-27T09:55:01,2026-05-27,13:00,90,Outdoor 2,36.0,frei,0
