datum_snapshot,datum_slot,uhrzeit_slot,dauer_minuten,court,preis,status,tage_im_voraus
2026-05-19T15:33:22,2026-05-19,14:00,60,Outdoor 1,42.0,frei,0
2026-05-19T15:33:22,2026-05-19,20:00,60,Outdoor 1,36.0,frei,0
2026-05-19T15:33:22,2026-05-19,20:00,120,Outdoor 1,66.0,frei,0
2026-05-19T15:33:22,2026-05-19,21:00,60,Outdoor 1,30.0,frei,0
2026-05-19T15:33:22,2026-05-19,20:00,60,Outdoor 4,36.0,frei,0
2026-05-19T15:33:22,2026-05-19,20:00,120,Outdoor 4,66.0,frei,0
2026-05-19T15:33:22,2026-05-19,21:00,60,Outdoor 4,30.0,frei,0
2026-05-19T15:33:22,2026-05-19,19:00,60,Indoor 2,36.0,frei,0
2026-05-19T15:33:22,2026-05-19,21:00,60,Indoor 4,22.0,frei,0
2026-05-19T15:33:22,2026-05-20,06:00,60,Outdoor 1,30.0,frei,1
2026-05-19T15:33:22,2026-05-20,06:00,120,Outdoor 1,60.0,frei,1
2026-05-19T15:33:22,2026-05-20,07:00,60,Outdoor 1,30.0,frei,1
2026-05-19T15:33:22,2026-05-20,10:00,90,Outdoor 1,45.0,frei,1
2026-05-19T15:33:22,2026-05-20,06:00,60,Outdoor 2,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,06:00,90,Outdoor 2,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,06:00,120,Outdoor 2,48.0,frei,1
2026-05-19T15:33:22,2026-05-20,06:00,150,Outdoor 2,60.0,frei,1
2026-05-19T15:33:22,2026-05-20,06:30,60,Outdoor 2,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,06:30,90,Outdoor 2,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,06:30,120,Outdoor 2,48.0,frei,1
2026-05-19T15:33:22,2026-05-20,06:30,150,Outdoor 2,60.0,frei,1
2026-05-19T15:33:22,2026-05-20,07:00,60,Outdoor 2,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,07:00,90,Outdoor 2,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,07:00,120,Outdoor 2,48.0,frei,1
2026-05-19T15:33:22,2026-05-20,07:00,150,Outdoor 2,60.0,frei,1
2026-05-19T15:33:22,2026-05-20,07:30,60,Outdoor 2,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,07:30,90,Outdoor 2,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,07:30,120,Outdoor 2,48.0,frei,1
2026-05-19T15:33:22,2026-05-20,07:30,150,Outdoor 2,60.0,frei,1
2026-05-19T15:33:22,2026-05-20,08:00,60,Outdoor 2,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,08:00,90,Outdoor 2,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,08:00,120,Outdoor 2,48.0,frei,1
2026-05-19T15:33:22,2026-05-20,08:00,150,Outdoor 2,60.0,frei,1
2026-05-19T15:33:22,2026-05-20,08:30,60,Outdoor 2,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,08:30,90,Outdoor 2,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,08:30,120,Outdoor 2,48.0,frei,1
2026-05-19T15:33:22,2026-05-20,08:30,150,Outdoor 2,60.0,frei,1
2026-05-19T15:33:22,2026-05-20,09:00,60,Outdoor 2,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,09:00,90,Outdoor 2,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,09:00,120,Outdoor 2,48.0,frei,1
2026-05-19T15:33:22,2026-05-20,09:00,150,Outdoor 2,60.0,frei,1
2026-05-19T15:33:22,2026-05-20,09:30,60,Outdoor 2,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,09:30,90,Outdoor 2,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,09:30,120,Outdoor 2,48.0,frei,1
2026-05-19T15:33:22,2026-05-20,09:30,150,Outdoor 2,60.0,frei,1
2026-05-19T15:33:22,2026-05-20,10:00,60,Outdoor 2,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,10:00,90,Outdoor 2,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,10:00,120,Outdoor 2,48.0,frei,1
2026-05-19T15:33:22,2026-05-20,10:00,150,Outdoor 2,60.0,frei,1
2026-05-19T15:33:22,2026-05-20,10:30,60,Outdoor 2,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,10:30,90,Outdoor 2,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,10:30,120,Outdoor 2,48.0,frei,1
2026-05-19T15:33:22,2026-05-20,10:30,150,Outdoor 2,60.0,frei,1
2026-05-19T15:33:22,2026-05-20,11:00,60,Outdoor 2,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,11:00,90,Outdoor 2,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,11:00,120,Outdoor 2,48.0,frei,1
2026-05-19T15:33:22,2026-05-20,11:00,150,Outdoor 2,60.0,frei,1
2026-05-19T15:33:22,2026-05-20,11:30,60,Outdoor 2,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,11:30,90,Outdoor 2,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,11:30,120,Outdoor 2,48.0,frei,1
2026-05-19T15:33:22,2026-05-20,11:30,150,Outdoor 2,60.0,frei,1
2026-05-19T15:33:22,2026-05-20,12:00,60,Outdoor 2,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,12:00,90,Outdoor 2,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,12:00,120,Outdoor 2,48.0,frei,1
2026-05-19T15:33:22,2026-05-20,12:00,150,Outdoor 2,66.0,frei,1
2026-05-19T15:33:22,2026-05-20,12:30,60,Outdoor 2,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,12:30,90,Outdoor 2,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,12:30,120,Outdoor 2,54.0,frei,1
2026-05-19T15:33:22,2026-05-20,12:30,150,Outdoor 2,72.0,frei,1
2026-05-19T15:33:22,2026-05-20,13:00,60,Outdoor 2,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,13:00,90,Outdoor 2,42.0,frei,1
2026-05-19T15:33:22,2026-05-20,13:00,120,Outdoor 2,60.0,frei,1
2026-05-19T15:33:22,2026-05-20,13:30,60,Outdoor 2,30.0,frei,1
2026-05-19T15:33:22,2026-05-20,13:30,90,Outdoor 2,48.0,frei,1
2026-05-19T15:33:22,2026-05-20,13:30,150,Outdoor 2,84.0,frei,1
2026-05-19T15:33:22,2026-05-20,14:00,60,Outdoor 2,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,14:00,120,Outdoor 2,72.0,frei,1
2026-05-19T15:33:22,2026-05-20,14:30,90,Outdoor 2,54.0,frei,1
2026-05-19T15:33:22,2026-05-20,15:00,60,Outdoor 2,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,06:00,60,Outdoor 4,30.0,frei,1
2026-05-19T15:33:22,2026-05-20,06:00,120,Outdoor 4,60.0,frei,1
2026-05-19T15:33:22,2026-05-20,07:00,60,Outdoor 4,30.0,frei,1
2026-05-19T15:33:22,2026-05-20,12:00,60,Outdoor 4,30.0,frei,1
2026-05-19T15:33:22,2026-05-20,12:00,120,Outdoor 4,60.0,frei,1
2026-05-19T15:33:22,2026-05-20,13:00,60,Outdoor 4,30.0,frei,1
2026-05-19T15:33:22,2026-05-20,06:00,60,Indoor 2,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,06:00,120,Indoor 2,48.0,frei,1
2026-05-19T15:33:22,2026-05-20,06:30,90,Indoor 2,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,07:00,60,Indoor 2,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,10:00,60,Indoor 2,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,10:00,90,Indoor 2,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,10:00,120,Indoor 2,48.0,frei,1
2026-05-19T15:33:22,2026-05-20,11:00,60,Indoor 2,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,11:00,120,Indoor 2,48.0,frei,1
2026-05-19T15:33:22,2026-05-20,11:30,90,Indoor 2,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,12:00,60,Indoor 2,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,14:30,90,Indoor 2,54.0,frei,1
2026-05-19T15:33:22,2026-05-20,06:00,90,Single Indoor,45.0,frei,1
2026-05-19T15:33:22,2026-05-20,12:00,60,Single Indoor,30.0,frei,1
2026-05-19T15:33:22,2026-05-20,12:00,120,Single Indoor,60.0,frei,1
2026-05-19T15:33:22,2026-05-20,13:00,60,Single Indoor,30.0,frei,1
2026-05-19T15:33:22,2026-05-20,06:00,60,Indoor 1,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,06:00,120,Indoor 1,48.0,frei,1
2026-05-19T15:33:22,2026-05-20,06:30,90,Indoor 1,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,07:00,60,Indoor 1,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,10:00,60,Indoor 1,24.0,frei,1
2026-05-19T15:33:22,2026-05-20,10:00,90,Indoor 1,36.0,frei,1
2026-05-19T15:33:22,2026-05-20,10:00,120,Indoor 1,48.0,frei,1
2026-05-19T15:33:22,2026-05-20,10:00,150,Indoor 1,60.0,frei,1
2026-05-19T15:33:22,2026-05-20,11:00,60,Indoor 1,24.0,frei,1
